"","08FEB20","2126","TC12","14FEB20","JBU","  23 ","10","14","20200214","20200214","1030","1656","984   ","20200208","SC05","JFK ","0530","DM","-0500","LAX ","0856","-0800","32S ","","","","0530","1030","","","","","0856","1656","","","988 ","","","","","","0","","","32S ","","5606076","","","","0","0","0","> 700 ","","JFK","2","1","2020-02-14 10:30:00.000","3","2020-02-14 16:56:00.000","29","7","0","0","0023"
"","09FEB20","1657","KEHO","14FEB20","JBU","  24 ","10","14","20200214","20200214","1330","1848","985   ","20200209","SC05","LAX ","0530","DM","-0800","JFK ","1348","-0500","32S ","","","","0530","1330","","","","","1348","1848","","","962 ","","","","","","0","","","32S ","","5606085","","","","0","0","0","> 915 ","","JFK","2","1","2020-02-14 13:30:00.000","0","2020-02-14 18:48:00.000","15","7","0","0","0024"
"","09FEB20","0310","TC12","14FEB20","JBU","  26 ","10","14","20200214","20200214","1655","1931","517   ","20200209","SC20","TPA ","1155","DM","-0500","JFK ","1431","-0500","320 ","","","","1155","1655","","","","","1431","1931","","","661 ","","","","","","0","","","320 ","","5606099","","","","0","0","0","> 161 ","","JFK","2","0","2020-02-14 16:55:00.000","0","2020-02-14 19:31:00.000","14","7","0","0","0026"
"","08FEB20","2222","TC12","14FEB20","JBU","  27 ","10","14","20200214","20200214","1001","1251","646   ","20200208","SC05","EWR ","0501","DM","-0500","MCO ","0751","-0500","32M ","","","","0501","1001","","","","","0751","1251","","","594 ","","","","","","0","","","32H ","","5606110","","","","0","0","0","> 970 ","","JFK","2","1","2020-02-14 10:01:00.000","3","2020-02-14 12:51:00.000","25","7","0","0","0027"
"","09FEB20","1301","MJOH","14FEB20","JBU","  28 ","10","14","20200214","20200214","1530","1812","606   ","20200209","SC14","MCO ","1030","DM","-0500","EWR ","1312","-0500","32M ","","","","1030","1530","","","","","1312","1812","","","729 ","","","","","","0","","","32M ","","5606121","","","","0","0","0",">1005 ","","JFK","2","0","2020-02-14 15:30:00.000","0","2020-02-14 18:12:00.000","16","7","0","0","0028"
"","07FEB20","1049","JB60","14FEB20","JBU","  33 ","10","14","20200214","20200214","1853","2019","294   ","20200207","","BTV ","1353","DM","-0500","JFK ","1519","-0500","E90 ","","","15  ","1353","1853","","","","","1519","2019","","","","","","","","","0","","","E90 ","","5606137","","","","0","0","0",">1101 ","","JFK","2","0","2020-02-14 18:53:00.000","0","2020-02-14 20:19:00.000","15","7","0","0","0033"
"","07FEB20","1049","JB60","14FEB20","JBU","  34 ","10","14","20200214","20200214","1700","1814","294   ","20200207","","JFK ","1200","DM","-0500","BTV ","1314","-0500","E90 ","","","","1200","1700","","","","15  ","1314","1814","","","","","","","","","0","","","E90 ","","5606147","","","","0","0","0",">  33 ","","JFK","2","0","2020-02-14 17:00:00.000","0","2020-02-14 18:14:00.000","29","7","0","0","0034"
"","09FEB20","1857","KEHO","14FEB20","JBU","  38 ","10","14","20200214","20200214","2159","0054","639   ","20200209","SC05","SJO ","1559","DM","-0600","FLL ","1954","-0500","320 ","","","","1559","2159","","","","","1954","0054","","","635 ","","","","","","0","","","320 ","","5606158","","","","0","0","0",">1258 ","","JFK","2","0","2020-02-14 21:59:00.000","0","2020-02-15 00:54:00.000","15","7","0","0","0038"
"","14FEB20","1645","BTCH","14FEB20","JBU","  39 ","10","14","20200214","20200214","1759","2059","639   ","20200214","SC05","FLL ","1259","DM","-0500","SJO ","1459","-0600","320 ","","","","1259","1759","","","","","1459","2059","","","635 ","","","","","","0","","","320 ","","5606169","","","","0","0","0",">  38 ","","JFK","2","0","2020-02-14 17:59:00.000","0","2020-02-14 20:59:00.000","17","7","0","0","0039"
"","14FEB20","1500","BTCH","14FEB20","JBU","  40 ","10","14","20200214","20200214","1614","1943","580   ","20200214","","MDE ","1114","DM","-0500","FLL ","1443","-0500","32M ","","","","1114","1614","","","","","1443","1943","","","","","","","","","0","","","32M ","","5606179","","","","0","0","0","> 170 ","","JFK","2","0","2020-02-14 16:14:00.000","0","2020-02-14 19:43:00.000","15","7","0","0","0040"
